npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  6/25/2026 3:50:48 PM ::1 GET /
 HTTP  6/25/2026 3:50:48 PM ::1 Returned 200 in 38 ms
 HTTP  6/25/2026 3:50:48 PM ::1 GET /_next/static/media/797e433ab948586e-s.p.0r6juujl39pe6.woff2
 HTTP  6/25/2026 3:50:48 PM ::1 GET /_next/static/chunks/233p45nuh4m5b.css
 HTTP  6/25/2026 3:50:48 PM ::1 GET /_next/static/chunks/0nixl5cgzy9-_.css
 HTTP  6/25/2026 3:50:48 PM ::1 GET /_next/static/media/caa3a2e1cccd8315-s.p.0wgildi0cnwt9.woff2
 HTTP  6/25/2026 3:50:48 PM ::1 Returned 200 in 9 ms
 HTTP  6/25/2026 3:50:48 PM ::1 Returned 200 in 9 ms
 HTTP  6/25/2026 3:50:48 PM ::1 Returned 200 in 9 ms
 HTTP  6/25/2026 3:50:48 PM ::1 Returned 200 in 11 ms
 HTTP  6/25/2026 3:50:48 PM ::1 GET /_next/static/chunks/1dul40nlxs8op.js
 HTTP  6/25/2026 3:50:48 PM ::1 GET /_next/static/chunks/06fbg3mbj08cs.js
 HTTP  6/25/2026 3:50:48 PM ::1 GET /_next/static/chunks/0hha91vaoysnq.js
 HTTP  6/25/2026 3:50:48 PM ::1 GET /_next/static/chunks/turbopack-3aidazpbfawdj.js
 HTTP  6/25/2026 3:50:48 PM ::1 GET /_next/static/chunks/2qd-x1d_x72ft.js
 HTTP  6/25/2026 3:50:48 PM ::1 GET /_next/static/chunks/1k8z86h5y77k3.js
 HTTP  6/25/2026 3:50:48 PM ::1 Returned 200 in 7 ms
 HTTP  6/25/2026 3:50:48 PM ::1 Returned 200 in 8 ms
 HTTP  6/25/2026 3:50:48 PM ::1 Returned 200 in 8 ms
 HTTP  6/25/2026 3:50:48 PM ::1 Returned 200 in 9 ms
 HTTP  6/25/2026 3:50:48 PM ::1 Returned 200 in 15 ms
 HTTP  6/25/2026 3:50:48 PM ::1 Returned 200 in 18 ms
 HTTP  6/25/2026 3:50:48 PM ::1 GET /_next/static/chunks/1vnictni171ki.js
 HTTP  6/25/2026 3:50:48 PM ::1 Returned 200 in 10 ms
